    app2();<br/><br/>    叶帆和白千落大致一听，得知事情经过。
<br/><br/>    白千浩很疑惑，老爷子什么时候开始关心，自己跟几个奶奶的关系了？
<br/><br/>    “不用，你忙你的，需要你去，我会告诉你……没事就少去。”
<br/><br/>    “啊？”
<br/><br/>    白千浩更加纳闷了，不叫他去，那为何提这件事？
<br/><br/>    “阁主！千浩少爷！不好了！灵儿小姐跟千落长老打起来了！！”
<br/><br/>    “什么！？”
<br/><br/>    “白千落这个贱人！敢动我的灵儿？”
<br/><br/>    白千浩气势汹汹杀了出去。
<br/><br/>    白仲康听到这声“我的灵儿”，一脸古怪，叹气摇头，但也只好跟了出去。
<br/><br/>    祖孙俩到前大平台时，正好见一红一白两道身影，互相在空中对拼了一掌。
<br/><br/>    “噗”！白千落感觉一股烈火灼心，喷出一口淤血。
<br/><br/>    黄灵儿脸色发红，气血翻涌。
<br/><br/>    见白千浩飞来，她凌空一个顺势后退。
<br/><br/>    稳稳的，落进白千浩的怀中。
<br/><br/>    白千浩一个飞旋，搂住未婚妻，缓缓落下。
<br/><br/>    两人四目相对。
<br/><br/>    黄灵儿满眼水雾，带着几分柔弱，委屈，还有一丝爱慕。
<br/><br/>    “千浩哥哥……那人欺负灵儿”。
<br/><br/>    白千浩一股子热气窜上脑门！被黄灵儿这声“千浩哥哥”，叫得整个人骨头都酥了！“白千落！你放肆！敢对灵儿小姐动手！？”
<br/><br/>    “千浩少爷，您要为玉贞、玉莹做主啊！”
<br/><br/>    俩丫头这时也上来，指着身上的伤说。
<br/><br/>    白千浩脸色阴沉，“连丫鬟都不放过！？
<br/><br/>    你们放心，今日我白千浩，必当给你们讨回公道！！”
<br/><br/>    “白千浩你别听她们胡言乱语！是她们先污蔑我家小橘！那黄灵儿是装的！！”
<br/><br/>    白千落厉声怒斥。
<br/><br/>    “闭嘴！你养的丫鬟，你当然替她说话！”
<br/><br/>    “在场的都能作证！到底是谁先动了手，你不会问问清楚吗？”
<br/><br/>    白千浩扫了一眼，“谁想作证？”
<br/><br/>    众人自然都低头，当起了鸵鸟。
<br/><br/>    “你们……你们还是藏锋剑阁的人吗？
<br/><br/>    小橘好歹也是你们看着长大的呀！！”
<br/><br/>    白千落气得直掉眼泪，心酸，心寒！“姑娘……我们回去吧……小橘没事的……”小橘怕连累白千落，有气无力地啜泣说。
<br/><br/>    白千浩哈哈大笑：“看见了吗？
<br/><br/>    这就是你的错，还想让别人来替你作伪证？”
<br/><br/>    “白千落，你纵容婢女，冒犯黄灵儿小姐和她的贴身丫鬟！”
<br/><br/>    “这等行径，知道有多危险吗？
<br/><br/>    会挑起火麟宫与我藏锋剑阁的矛盾！”
<br/><br/>    “简直是叛宗行为！！”
<br/><br/>    白千浩看到白仲康这时已经过来，拱手道：“爷爷，我认为应该把白千落，送到执法堂，好好惩戒！！”
<br/><br/>    白千落脸色苍白，担忧不已地看向白仲康。
<br/><br/>    “阁主！真是黄灵儿主仆挑事，请您一定要相信我！！”
<br/><br/>    她知道，自己在白仲康心目中，绝对没黄灵儿重要。
<br/><br/>    “阁主……是小橘错了！罚小橘吧……跟姑娘没关系！”
<br/><br/>    小橘想扑到地上跪下，但骨头断了，都没法下地。
<br/><br/>    一群人都摇头惋惜，白千落也太冲动了，招惹黄灵儿，这不是自找罪受吗？
<br/><br/>    围观的剑阁众人，都已经猜到了结局……“浩儿，带着黄灵儿小姐，回去休息吧”。
<br/><br/>    “丫鬟吵架，小事情而已，别伤了自家兄妹和气”。
<br/><br/>    突然，白仲康沉着脸说。
<br/><br/>    现场，鸦雀无声！一张张脸孔上，写满了不可思议，惊愕地看着白仲康！<br/><br/>
